id;Pocket;Table;Turn;River
4485;9c6c;8c4dtc;as;
4486;3dtd;5s2c4h;kh;qc
4490;6cjc;8h8c9h;;
4492;9ctc;;;
4495;9sjs;;;
4502;8h7h;;;
4511;6sqs;thjcjh;;
4534;ad7d;4c5hkd;;
4543;6s7s;;;
4551;8dqd;6h9c5h;8c;7d
4553;kctc;7cqh2d;td;jc
4557;8c5c;4ckd2d;;
4563;kd9d;;;
4565;8hjh;5sacts;;
4569;3dtd;;;
4588;5sas;2s6s8h;6d;
4591;5h6h;8daskh;;
4605;3h7h;;;
4613;4d5d;8hac9c;;
4614;6c5c;;;
4634;8dkd;jh2dkh;jd;9h
4639;7hth;6d6hac;5d;
4657;8dkd;5d5c2s;7h;8s
4674;7sjs;8c6s2d;ks;
4676;3d5d;;;
4677;3ctc;4h6hkh;;
4679;jdtd;2h4h9c;8c;3c
4681;7hkh;5s6d4s;tc;9c
4688;7c8c;2cjsas;qd;4c
4694;9cqc;;;
4698;7h4h;;;
4700;ad6d;5d3skd;2h;ac
4716;ts2s;;;
4717;9d8d;;;
4720;2s9s;;;
4728;3d2d;khkcjh;;
4737;ac2c;4cjc4h;;
4747;9ckc;;;
4751;2sqs;3s4s8h;4d;2d
4754;2s3s;jh6cqs;;
4756;6d8d;;;
4757;kd6d;qsjhts;2h;jd
4761;thah;4d7c9h;3d;4h
4774;8s9s;7sad3d;;
4776;qd3d;th9d2h;8s;
4777;8h4h;;;
4778;9d3d;;;
4780;2s4s;3d6d4c;jc;8d
4784;kh4h;qdqsjs;;
4794;qhah;;;
4798;2s5s;qs4cjs;;
4807;2cqc;qhqs9h;th;
4814;jd2d;kd8sjc;as;td
4816;asqs;;;
4819;8c2c;;;
4836;ks2s;;;
4842;thah;;;
4855;8s6s;4s9hks;5c;
4869;3cqc;7h7c6d;7s;2s
4876;9d8d;th4s5h;7h;2h
4886;6dkd;;;
4897;7h3h;as8sjh;2s;
4911;js5s;;;
4913;5s7s;td9c6c;;
4915;7sjs;8cqs2s;;
4917;js4s;kh2h2c;;
4923;9dad;qs8dkd;4s;2s
4924;js8s;jdtc2s;9s;
4927;8sas;;;
4937;kh8h;4dkc7c;tc;
4942;8c5c;3h3d6d;ah;2c
4959;kh9h;4hjd2c;4s;
4966;ah9h;ts7ckh;5s;
4975;ad9d;jdqd6s;8s;5s
4992;qs6s;tdkc3c;;
5003;td9d;;;
5023;qdad;;;
5028;5sqs;2h8dkd;3h;as
5039;khqh;3c7h4h;jc;
5057;ac6c;kh3h9s;as;6s
5066;jd5d;ac6c7d;;
5080;kh7h;6sjsqc;;
5090;2dad;js3s4h;6c;ts
5092;7h5h;8h8sjc;;
5094;5c7c;kh8htc;;
5105;6hth;2c5h7c;6s;qh
5107;5sqs;4d6dts;5d;
5110;6s5s;;;
5116;ksjs;;;
5119;2d5d;9d8sth;8d;
5143;td8d;kdjd2c;8c;ah
5172;8h6h;4h9h7c;7h;kh
5186;qd5d;7s6s9s;;
5188;3cqc;;;
5208;3d8d;;;
5212;2dqd;jc9s8h;4s;5d
5217;kh9h;3ctdqh;8s;2s
5232;4h8h;ad2c9d;qs;8c
5236;qs6s;as6c3d;jc;4s
5240;5h4h;;;
5242;5s8s;qstcjh;2d;7h
5243;8h9h;;;
5244;8s9s;;;
5253;2s6s;7cjs7s;6h;3c
5278;6dtd;;;
5288;asks;4s4dah;;
5299;7c3c;;;
5306;7djd;2d2h2c;9c;th
5314;2c7c;qsjc8h;5d;
5328;4d5d;8h5s5h;6c;
5347;3s4s;kd3d7c;;
5351;qckc;kd5s6s;2d;7h
5357;td6d;9h4c7h;js;
5367;kd6d;qh5has;;
5375;td2d;qskhth;3s;4d
5378;jcac;6djd8c;;
5385;kctc;6s8c2s;9h;
5389;5hjh;;;
5390;adqd;2sqh5h;;
5393;2sks;qc7c6c;8d;
5397;qd4d;2hjs2d;3s;4c
5401;7cjc;9ckd2h;;
5402;9ctc;5cth6d;;
5422;6c4c;9c6d8c;4s;6h
5432;6c3c;7d5s7h;;
5440;9h5h;as4d6d;ts;
5442;4c3c;;;
5462;6hth;;;
5463;7s2s;;;
5464;7c4c;;;
5469;5h3h;;;
5470;2sts;;;
5482;6c5c;4h3s2h;;
5487;kc2c;as9c3c;7s;5d
5492;9cqc;ac7h2h;kc;8d
5509;qd4d;;;
5512;2s8s;;;
5520;5h8h;;;
5525;6s4s;td7s9d;jh;
5539;9cac;3h8dtc;5s;
5542;6d5d;kd5c2h;tc;
5551;jhkh;;;
5552;qsks;;;
5557;qsjs;as2s9d;;
5559;kcqc;6c2h7s;4d;4c
5571;khjh;7s6djs;;
5577;jc8c;jd3s6c;tc;
5583;4ctc;9d6d5c;8s;6h
5584;tc4c;;;
5602;2ckc;;;
5612;ac3c;;;
5613;2sas;;;
5614;5d3d;7c6dqs;7d;2s
5626;tdjd;js4d8h;4h;ah
5631;6dkd;;;
5637;9d3d;;;
5638;2sjs;;;
5639;as9s;6h5s9h;9d;7c
5641;8h3h;;;
5643;2h3h;asqcks;9h;
5652;asts;;;
5676;4c5c;;;
5679;5cac;jhtdah;qh;
5683;jh6h;5skh7h;9s;9d
5695;5s8s;9s9h2s;7d;th
5704;kctc;;;
5706;qcjc;;;
5707;qs9s;;;
5708;4s3s;2sadkd;jc;
5725;as3s;8s5c4c;3h;8c
5728;7h2h;3s4h6d;8d;th
5736;jh3h;3c4cjd;;
5746;7dtd;7h3hkc;tc;3s
5748;ksqs;6c3ckd;9c;
5757;tdkd;5ckcjh;6d;6c
5765;4sas;;;
5783;9h4h;ks8s2h;;
5790;9h4h;;;
5797;jc6c;as8hac;2h;
5798;jckc;;;
5810;jhkh;;;
5818;qcjc;3cts2h;;
5827;8c4c;;;
5828;4sqs;ahqd2s;7s;6h
5834;tdkd;7s6d2d;jd;
5836;jsas;;;
5846;kd8d;;;
5847;actc;9cjhqc;6c;5d
5868;qc9c;2h3hqd;3s;2c
5884;ad5d;;;
5885;qd4d;;;
5886;9d8d;6c7cjh;7h;
5890;3ckc;jhkh6d;;
5895;kh3h;4h7c5h;;
5917;4sks;4c9h3d;qc;
5926;jsqs;td7cqh;jd;
5935;ah3h;thjcjh;8c;2d
5936;qc7c;3s8c2c;ah;9d
5946;7d6d;6cqh4c;8c;
5960;3hkh;jstd2c;;
5963;2c4c;jhjs8h;;
5967;7h4h;5d6h9h;4d;ts
5968;8ctc;3dthac;8d;
5970;qsas;jhts7s;4c;3h
5978;9d5d;8cqd3d;td;5s
5982;6cqc;kdtc5d;3c;4c
5984;qhjh;;;
6001;ts3s;ahas7h;;
6003;jc7c;ah8h5d;7s;3s
6012;kd8d;;;
6013;7d8d;;;
6023;qh4h;th5djs;;
6029;4hjh;;;
6035;4h5h;th3sqd;9d;2h
6040;jctc;;;
6041;5sts;;;
