id;Pocket;Table;Turn;River;proba_win_preflop;proba_draw_preflop;best_hand_flop;checker_flop;proba_win_flop;proba_draw_flop;best_hand_turn;checker_turn;proba_win_turn;proba_draw_turn;best_hand_river;checker_river;proba_win_river;proba_draw_river
536;5c6c;;;;0.40347;0.05645;;;;;;;;;;;;
540;4sjs;qc6c7s;;;0.47125;0.04391;HIGH_CARD;1.0;0.3175;0.03935;;;;;;;;
548;3d7d;4h9cks;6c;;0.37348;0.05459;HIGH_CARD;1.0;0.1843;0.0466;HIGH_CARD;1.0;0.30838823012736055;0.02507685551163812;;;;
557;jc7c;7sqs4d;4s;kc;0.50431;0.03672;ONE_PAIR;0.5;0.66505;0.01835;TWO_PAIR;0.75;0.5677206851119895;0.04883618796662275;TWO_PAIR;0.75;0.5373737373737374;0.06262626262626263
558;jdkd;qc3s9h;4h;4d;0.61318;0.02155;HIGH_CARD;0.0;0.54705;0.0155;HIGH_CARD;0.0;0.40781730346947737;0.00849802371541502;ONE_PAIR;1.0;0.3878787878787879;0.00909090909090909
560;ts5s;3s4sqh;;;0.44696;0.04631;HIGH_CARD;1.0;0.5514;0.0185;;;;;;;;
562;kc4c;;;;0.5325;0.03947;;;;;;;;;;;;
579;5s4s;;;;0.38439;0.05845;;;;;;;;;;;;
583;9dtd;;;;0.52327;0.03144;;;;;;;;;;;;
591;3ckc;jstdts;2d;;0.5213;0.0388;ONE_PAIR;1.0;0.42095;0.0763;ONE_PAIR;1.0;0.4278656126482213;0.05408432147562582;;;;
593;asjs;5skc9s;ks;2d;0.64361;0.01974;HIGH_CARD;0.0;0.6966;0.0092;FLUSH;0.6;0.9413702239789197;0.0;FLUSH;0.6;0.9717171717171718;0.0
602;7d6d;;;;0.42945;0.05099;;;;;;;;;;;;
616;2h9h;7s7cjc;6h;;0.39997;0.04797;ONE_PAIR;1.0;0.21035;0.12805;ONE_PAIR;1.0;0.2836627140974967;0.06668862538427756;;;;
619;jc3c;;;;0.45993;0.04333;;;;;;;;;;;;
627;4ckc;acas9c;tc;ts;0.5325;0.03947;ONE_PAIR;1.0;0.6868;0.0505;FLUSH;0.6;0.8974088713219148;0.0;FLUSH;0.6;0.8252525252525252;0.0
638;8s5s;;;;0.41887;0.0509;;;;;;;;;;;;
651;4h6h;kd8h7h;th;9d;0.38592;0.05597;HIGH_CARD;1.0;0.52015;0.04665;FLUSH;0.6;0.9664909969257796;0.0;FLUSH;0.6;0.9747474747474747;0.0
653;kcqc;;;;0.62156;0.01934;;;;;;;;;;;;
654;9d7d;8had6c;;;0.46978;0.04351;HIGH_CARD;1.0;0.50335;0.033;;;;;;;;
667;asks;9c6d9d;5c;5h;0.66158;0.01626;ONE_PAIR;1.0;0.55975;0.0289;ONE_PAIR;1.0;0.41027667984189725;0.03333333333333333;TWO_PAIR;1.0;0.5515151515151515;0.10606060606060606
669;9ctc;;;;0.52327;0.03144;;;;;;;;;;;;
679;4h7h;;;;0.39191;0.05432;;;;;;;;;;;;
680;8cac;;;;0.60463;0.0286;;;;;;;;;;;;
686;qsjs;ts4d5h;;;0.58833;0.02402;HIGH_CARD;0.0;0.4415;0.00955;;;;;;;;
691;3d5d;;;;0.36672;0.05776;;;;;;;;;;;;
702;tc9c;;;;0.52327;0.03144;;;;;;;;;;;;
708;4sts;;;;0.43895;0.04606;;;;;;;;;;;;
710;qdtd;jhkcac;qh;2d;0.57973;0.02676;STRAIGHT;0.6;0.90015;0.04315;STRAIGHT;0.8;0.7969038208168643;0.1810935441370224;STRAIGHT;0.8;0.8696969696969697;0.1303030303030303
712;3djd;;;;0.45993;0.04333;;;;;;;;;;;;
714;6hqh;;;;0.51465;0.03879;;;;;;;;;;;;
726;jd9d;6cqc5d;4c;7s;0.54085;0.03161;HIGH_CARD;1.0;0.39045;0.0191;HIGH_CARD;1.0;0.16774264382960036;0.011308739569609134;HIGH_CARD;1.0;0.048484848484848485;0.00808080808080808
729;7cqc;ad2d3h;tc;js;0.52589;0.03561;HIGH_CARD;1.0;0.34495;0.0348;HIGH_CARD;1.0;0.2989240228370663;0.01629336846728151;HIGH_CARD;1.0;0.24242424242424243;0.00909090909090909
731;3c2c;jc4s5d;;;0.3326;0.05755;HIGH_CARD;1.0;0.40285;0.02015;;;;;;;;
737;9sjs;8ctc4c;8h;9d;0.54085;0.03161;HIGH_CARD;0.0;0.4276;0.043;ONE_PAIR;1.0;0.3453667105841019;0.04556433904259991;TWO_PAIR;0.75;0.6535353535353535;0.005050505050505051
738;4d8d;ks3dkh;as;6h;0.39993;0.05062;ONE_PAIR;1.0;0.27435;0.0619;ONE_PAIR;1.0;0.3085199824330259;0.09679402722880984;ONE_PAIR;1.0;0.08484848484848485;0.03333333333333333
753;kcjc;;;;0.61318;0.02155;;;;;;;;;;;;
757;3c4c;8dah8c;7d;;0.35767;0.05771;ONE_PAIR;1.0;0.1843;0.16215;ONE_PAIR;1.0;0.2880764163372859;0.13566095740008782;;;;
765;kd6d;6hjhjs;8d;2d;0.54838;0.03627;TWO_PAIR;0.75;0.6844;0.03695;TWO_PAIR;0.75;0.6226394378568292;0.02551602986385595;TWO_PAIR;0.75;0.7363636363636363;0.006060606060606061
774;ts3s;5h5dqs;7h;tc;0.43302;0.04569;ONE_PAIR;1.0;0.2881;0.12255;ONE_PAIR;1.0;0.32951251646903823;0.07648221343873518;TWO_PAIR;0.75;0.6888888888888889;0.05454545454545454
781;jd7d;2d9stc;8s;qc;0.50431;0.03672;HIGH_CARD;0.0;0.43615;0.0307;STRAIGHT;0.6;0.9301054018445323;0.03210364514712341;STRAIGHT;0.8;0.8696969696969697;0.11818181818181818
783;5d4d;5s4sqc;9s;5c;0.38439;0.05845;TWO_PAIR;0.5;0.811;0.01225;TWO_PAIR;0.5;0.4501097935880545;0.0163153271848924;FULL_HOUSE;0.6;0.9858585858585859;0.00202020202020202
788;3h5h;;;;0.36672;0.05776;;;;;;;;;;;;
819;4cjc;6castc;;;0.47125;0.04391;HIGH_CARD;1.0;0.5516;0.03315;;;;;;;;
823;td7d;kdks4d;;;0.48267;0.0397;ONE_PAIR;1.0;0.5639;0.046;;;;;;;;
829;2d5d;3d8s4d;;;0.34956;0.05859;HIGH_CARD;1.0;0.59525;0.011;;;;;;;;
836;ahth;;;;0.6354;0.02202;;;;;;;;;;;;
843;8c9c;jsjc9h;7s;7d;0.48748;0.03821;TWO_PAIR;0.75;0.71785;0.0582;TWO_PAIR;0.75;0.8246157224418094;0.03917435221783048;TWO_PAIR;0.75;0.7525252525252525;0.006060606060606061
855;5hkh;5ctcac;8h;4s;0.53834;0.03914;ONE_PAIR;0.5;0.49995;0.0511;ONE_PAIR;0.5;0.46592007026789634;0.01352657004830918;ONE_PAIR;0.5;0.5202020202020202;0.006060606060606061
866;asjs;qdkd2c;qh;td;0.64361;0.01974;HIGH_CARD;0.0;0.5733;0.02565;ONE_PAIR;1.0;0.4584101888449715;0.03039086517347387;STRAIGHT;0.6;0.9181818181818182;0.00808080808080808
867;tckc;9sac9d;jh;7c;0.60594;0.02449;ONE_PAIR;1.0;0.52535;0.09645;ONE_PAIR;1.0;0.5572463768115942;0.11686429512516469;ONE_PAIR;1.0;0.4121212121212121;0.08181818181818182
869;2d4d;;;;0.33937;0.05801;;;;;;;;;;;;
870;ac9c;;;;0.61517;0.02571;;;;;;;;;;;;
873;5dqd;qh3s4h;;;0.50507;0.03984;ONE_PAIR;0.5;0.7714;0.0172;;;;;;;;
877;ac4c;ts2cqd;th;7h;0.57278;0.03839;HIGH_CARD;0.0;0.47475;0.03985;ONE_PAIR;1.0;0.3677865612648221;0.058168642951251646;ONE_PAIR;1.0;0.42424242424242425;0.045454545454545456
878;2c6c;;;;0.34868;0.05721;;;;;;;;;;;;
879;6s2s;;;;0.34868;0.05721;;;;;;;;;;;;
913;7c5c;;;;0.41112;0.05347;;;;;;;;;;;;
918;kh7h;5d2had;as;ks;0.55929;0.03367;HIGH_CARD;1.0;0.4328;0.03475;ONE_PAIR;1.0;0.4774483970136144;0.021563460693895475;TWO_PAIR;0.75;0.8424242424242424;0.006060606060606061
933;3hjh;;;;0.45993;0.04333;;;;;;;;;;;;
939;7hth;9c8s2c;;;0.48267;0.0397;HIGH_CARD;0.0;0.46995;0.02655;;;;;;;;
942;7sks;;;;0.55929;0.03367;;;;;;;;;;;;
948;ac4c;;;;0.57278;0.03839;;;;;;;;;;;;
972;td9d;jcqsjh;;;0.52327;0.03144;ONE_PAIR;1.0;0.53215;0.08105;;;;;;;;
979;jh7h;tcjckh;6h;6d;0.50431;0.03672;ONE_PAIR;0.5;0.63395;0.06265;ONE_PAIR;0.5;0.6605401844532279;0.027140974967061922;TWO_PAIR;0.75;0.6626262626262627;0.06262626262626263
1002;jc4c;2c6skc;;;0.47125;0.04391;HIGH_CARD;1.0;0.56555;0.0237;;;;;;;;
1009;ks4s;ah6c8h;;;0.5325;0.03947;HIGH_CARD;1.0;0.4033;0.04405;;;;;;;;
1011;7hkh;kdjh2c;;;0.55929;0.03367;ONE_PAIR;0.5;0.82795;0.02655;;;;;;;;
1016;7c8c;js5h3c;2c;2d;0.458;0.04564;HIGH_CARD;1.0;0.29055;0.01665;HIGH_CARD;1.0;0.4012296881862099;0.009617918313570487;ONE_PAIR;1.0;0.048484848484848485;0.00909090909090909
1027;7hkh;js4dqh;7d;jd;0.55929;0.03367;HIGH_CARD;0.0;0.4342;0.033;ONE_PAIR;0.5;0.7409969257795345;0.005797101449275362;TWO_PAIR;0.75;0.706060606060606;0.006060606060606061
1030;7sjs;7d2djd;qd;2h;0.50431;0.03672;TWO_PAIR;0.5;0.7658;0.03355;TWO_PAIR;0.5;0.5733860342555994;0.13667105841018884;TWO_PAIR;0.5;0.4575757575757576;0.00404040404040404
1038;tcac;;;;0.6354;0.02202;;;;;;;;;;;;
1049;9h8h;7c2hqc;;;0.48748;0.03821;HIGH_CARD;1.0;0.32715;0.01685;;;;;;;;
1050;2hah;thtc2c;8s;;0.55423;0.03725;TWO_PAIR;0.75;0.64645;0.0287;TWO_PAIR;0.75;0.8078173034694773;0.020663153271848925;;;;
1057;8ctc;ackd9c;;;0.50708;0.03643;HIGH_CARD;1.0;0.56205;0.05115;;;;;;;;
1071;6d9d;;;;0.45196;0.04535;;;;;;;;;;;;
1078;8h7h;6das7s;9s;8d;0.458;0.04564;ONE_PAIR;0.5;0.65555;0.03035;ONE_PAIR;0.5;0.6418093983311375;0.04115063680281072;TWO_PAIR;0.5;0.5777777777777777;0.00404040404040404
1080;8dtd;7s6djs;qc;;0.50708;0.03643;HIGH_CARD;1.0;0.4358;0.01965;HIGH_CARD;1.0;0.3766578831796223;0.01629336846728151;;;;
1089;tsas;ad5c4d;5h;9c;0.6354;0.02202;ONE_PAIR;0.5;0.7606;0.0224;TWO_PAIR;0.75;0.7685111989459815;0.027360562143170838;TWO_PAIR;0.75;0.8525252525252526;0.006060606060606061
1101;5c6c;5dad9s;3c;kd;0.40347;0.05645;ONE_PAIR;0.5;0.55905;0.03785;ONE_PAIR;0.5;0.5575757575757576;0.03258673693456302;ONE_PAIR;0.5;0.47878787878787876;0.03838383838383838
1105;4s8s;;;;0.39993;0.05062;;;;;;;;;;;;
1109;8dtd;askd8h;ks;7d;0.50708;0.03643;ONE_PAIR;0.5;0.67845;0.03975;TWO_PAIR;0.75;0.7359244620114185;0.07303469477382521;TWO_PAIR;0.75;0.6858585858585858;0.07676767676767676
1111;9d7d;td9cjh;2s;8d;0.46978;0.04351;ONE_PAIR;0.5;0.57585;0.0777;ONE_PAIR;0.5;0.61477821695213;0.03495827843653931;STRAIGHT;0.8;0.7101010101010101;0.11818181818181818
1121;kh6h;3cjc9s;;;0.54838;0.03627;HIGH_CARD;0.0;0.3696;0.036;;;;;;;;
1126;5d9d;9s4s5h;;;0.43271;0.04848;TWO_PAIR;0.5;0.8558;0.0049;;;;;;;;
1127;5s8s;jd3dtd;4c;;0.41887;0.0509;HIGH_CARD;1.0;0.1722;0.0693;HIGH_CARD;1.0;0.22397891963109354;0.012428634167764602;;;;
1134;8dqd;;;;0.5448;0.03173;;;;;;;;;;;;
1143;3c6c;9c8h7h;th;6h;0.36812;0.05679;HIGH_CARD;1.0;0.312;0.09875;STRAIGHT;0.8;0.5444005270092227;0.194532279314888;STRAIGHT;1.0;0.0;0.5333333333333333
1147;qs9s;;;;0.56259;0.02856;;;;;;;;;;;;
1150;7cjc;8h6sts;2h;js;0.50431;0.03672;HIGH_CARD;0.0;0.38765;0.02685;HIGH_CARD;0.0;0.2930390865173474;0.014251207729468598;ONE_PAIR;0.5;0.7808080808080808;0.006060606060606061
1153;3s7s;;;;0.37348;0.05459;;;;;;;;;;;;
1172;4cjc;;;;0.47125;0.04391;;;;;;;;;;;;
1178;kh2h;;;;0.5117;0.03808;;;;;;;;;;;;
1189;5s4s;tc2had;jd;9h;0.38439;0.05845;HIGH_CARD;1.0;0.2825;0.04535;HIGH_CARD;1.0;0.27755819060166886;0.04031620553359684;HIGH_CARD;1.0;0.012121212121212121;0.021212121212121213
1190;7dad;;;;0.59406;0.03158;;;;;;;;;;;;
1200;9d8d;2c8c2h;7d;9s;0.48748;0.03821;TWO_PAIR;0.75;0.69595;0.0421;TWO_PAIR;0.75;0.4257356170399649;0.054962670180061485;TWO_PAIR;0.5;0.8242424242424242;0.00404040404040404
1201;8ctc;5c7cqs;;;0.50708;0.03643;HIGH_CARD;1.0;0.5638;0.0183;;;;;;;;
1206;4dad;8d3h7c;;;0.57278;0.03839;HIGH_CARD;0.0;0.4706;0.0306;;;;;;;;
1212;8s3s;4s5h7s;4h;3h;0.38394;0.0524;HIGH_CARD;0.0;0.5147;0.02745;ONE_PAIR;1.0;0.3859903381642512;0.022815107597716294;TWO_PAIR;0.75;0.39494949494949494;0.006060606060606061
1213;6s4s;ac4h3h;9h;qh;0.38592;0.05597;ONE_PAIR;0.5;0.56855;0.0337;ONE_PAIR;0.5;0.536034255599473;0.031093544137022398;ONE_PAIR;0.5;0.296969696969697;0.028282828282828285
1220;8h4h;ts7d5h;jc;as;0.39993;0.05062;HIGH_CARD;1.0;0.3468;0.0326;HIGH_CARD;1.0;0.3675669740887132;0.04216073781291173;HIGH_CARD;1.0;0.08484848484848485;0.045454545454545456
1221;2d9d;7dtd7h;;;0.39997;0.04797;ONE_PAIR;1.0;0.48425;0.0755;;;;;;;;
1225;7d8d;3c5d2d;;;0.458;0.04564;HIGH_CARD;0.0;0.4924;0.012;;;;;;;;
1237;3c9c;kc9d2s;;;0.40966;0.04831;ONE_PAIR;0.5;0.70595;0.0308;;;;;;;;
1242;qdjd;;;;0.58833;0.02402;;;;;;;;;;;;
1249;ad9d;qctsqh;3h;8c;0.61517;0.02571;ONE_PAIR;1.0;0.5549;0.06005;ONE_PAIR;1.0;0.4924901185770751;0.04106280193236715;ONE_PAIR;1.0;0.4727272727272727;0.00909090909090909
